ID,Cropland
ID_ABQOQT,0
ID_ADDROF,0
ID_AFIWZH,1
ID_AFQOFP,0
ID_AHRONV,0
ID_AKGJVW,1
ID_ALPHGS,0
ID_ANJQRQ,0
ID_AOCZHZ,0
ID_AQDMBJ,0
ID_AREFEH,1
ID_ASVZKD,0
ID_ATIYUW,0
ID_AUTAXQ,1
ID_AUXREL,0
ID_AWDDGE,1
ID_AWOXFB,1
ID_AYIYPT,1
ID_AYWVHB,0
ID_BBUNQN,0
ID_BIBZYB,0
ID_BJADVZ,0
ID_BJHOIS,1
ID_BJSCIW,1
ID_BLEOVK,1
ID_BLHHBN,0
ID_BLZZBF,0
ID_BNGZJA,0
ID_BONODI,0
ID_BQXZTL,0
ID_BUHJDN,0
ID_BUJJOP,0
ID_BULHBF,0
ID_BWBAXW,0
ID_BYNZOG,0
ID_BYWXQL,0
ID_BZQWGS,1
ID_CAIJHD,0
ID_CAPSBT,1
ID_CATHHN,0
ID_CELGET,0
ID_CESQTI,0
ID_CFESSS,0
ID_CGVOSN,0
ID_CHHBKU,0
ID_CMPNZZ,0
ID_CNBFWX,0
ID_COHPSF,1
ID_COSFNB,1
ID_CPBHQO,0
ID_CPIKHK,1
ID_CQUKBJ,1
ID_CQWLSX,1
ID_CRHPLR,0
ID_CSMTRQ,1
ID_CUVJVB,0
ID_CUWPDZ,1
ID_CVEKZH,1
ID_CXXNSJ,1
ID_CXXZOE,0
ID_CZVOYZ,0
ID_DBCXIS,0
ID_DDTPKO,0
ID_DEISIY,0
ID_DERVSB,0
ID_DFKOXL,0
ID_DFPTRE,0
ID_DHESNK,1
ID_DHKNXS,0
ID_DIJVMR,0
ID_DJEQSQ,1
ID_DJLHRP,0
ID_DJXTXK,0
ID_DJZSKP,0
ID_DKRWCC,0
ID_DRKUXW,0
ID_DSSCPE,1
ID_DUAOJU,1
ID_DUGXUA,0
ID_DUTDZD,0
ID_DYDILF,0
ID_DZPGEO,0
ID_EANHZO,1
ID_EBTNTM,0
ID_ECDGVT,0
ID_EFVTTW,1
ID_EIFXUB,0
ID_EJHKIP,0
ID_EJSNVU,0
ID_EKHSGR,0
ID_ELOKAJ,0
ID_ELTTOC,0
ID_EMLUOW,0
ID_ENNSFA,0
ID_EPUSXA,1
ID_ERICJT,1
ID_EUESMX,0
ID_EUMSQV,0
ID_EWPJEX,1
ID_EXJLGM,1
ID_EYCEPR,1
ID_EYNBGW,0
ID_EYNUSE,0
ID_EYWZVW,0
ID_EZLXBD,0
ID_EZTHIV,1
ID_FAEHCV,1
ID_FAGMWB,1
ID_FAIGFY,1
ID_FDCVCU,0
ID_FDGIAT,1
ID_FDGYPK,0
ID_FDYOMU,1
ID_FFREEB,0
ID_FFWIDX,0
ID_FGBTRC,1
ID_FHCGCH,0
ID_FITJTV,0
ID_FKMGOO,1
ID_FLOQMR,1
ID_FNAXFD,1
ID_FNNBDI,0
ID_FOHQMP,1
ID_FSIJYU,0
ID_FUPEEM,0
ID_FVLHUF,1
ID_FWUJVV,0
ID_FXOUJN,1
ID_FXWBGR,1
ID_GAUITQ,1
ID_GCAKTZ,0
ID_GCAOZJ,0
ID_GCUWKQ,0
ID_GDLPGK,0
ID_GDXGPQ,1
ID_GESIIA,0
ID_GGOGPX,0
ID_GHGBOV,0
ID_GJHYSC,0
ID_GJVKCO,1
ID_GKEQLA,1
ID_GKRHIT,1
ID_GLXSHV,0
ID_GNFSHB,1
ID_GOFZHH,0
ID_GQWOCV,0
ID_GSAYNS,0
ID_GULKYZ,0
ID_GXDLGG,0
ID_GYLWOB,0
ID_GYWWJE,0
ID_GZEXCS,1
ID_HCOPPU,0
ID_HDRJZV,0
ID_HDRSYN,0
ID_HGWZRC,0
ID_HIODGS,0
ID_HIYBEJ,1
ID_HMCXDL,1
ID_HMSCWD,0
ID_HNNEYE,0
ID_HRDSYY,0
ID_HSAQSB,0
ID_HSUXOZ,0
ID_HTEDOZ,1
ID_HUIGHW,1
ID_HUPJQQ,1
ID_HVTIPR,0
ID_HXMDWL,1
ID_HYVOLI,0
ID_HZAVRU,0
ID_HZLJVL,0
ID_HZMJYL,0
ID_IAYNZF,0
ID_IDXHPF,0
ID_IGGGTY,0
ID_IHDRFH,0
ID_IIENCN,0
ID_IKMRCO,0
ID_ILBVBW,0
ID_ILGWNQ,0
ID_IMGGCH,0
ID_INFVNK,0
ID_IOZPOV,1
ID_IPFFBQ,0
ID_IPQLGV,1
ID_ISQWWW,0
ID_ISUMQE,1
ID_ITCTBW,1
ID_ITTDSS,1
ID_ITYKUA,0
ID_IUQVXC,0
ID_IVERQG,0
ID_IWSHAY,0
ID_IWSHIK,1
ID_IXUWXF,0
ID_IZKNZR,0
ID_IZNLPC,1
ID_JAJTWY,0
ID_JAWEFU,0
ID_JBMWRM,0
ID_JBOXWS,0
ID_JBWJZH,0
ID_JDHMBL,0
ID_JEVUVE,0
ID_JGNMCZ,0
ID_JIRWIS,0
ID_JISTWA,0
ID_JJEFYM,0
ID_JKOFOB,0
ID_JLYWCR,1
ID_JMPAHD,1
ID_JNZVUD,1
ID_JOMXNK,0
ID_JPGWEI,1
ID_JRROQJ,1
ID_JTOUVZ,0
ID_JUANLR,1
ID_KBGISR,1
ID_KCMKYA,1
ID_KDJTMW,1
ID_KDPTYY,0
ID_KFZNCB,1
ID_KGFWBN,0
ID_KGLULW,0
ID_KHDKYR,1
ID_KMBGGQ,0
ID_KMQGRS,1
ID_KMYZYW,0
ID_KNZFIG,0
ID_KOGGLZ,0
ID_KPNYFS,0
ID_KQFSMG,1
ID_KQGCTM,0
